sample_id,mask_type,path,exists,shape,unique_values,is_strict_binary,foreground_pixels,components,component_areas,small_components,holes,bbox_fill_ratio,edge_density,boundary_density,repair_actions,repair_changed_pixels
N_1.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_1.jpg,True,"(971, 259)","{0: 195495, 1: 1730, 2: 901, 3: 449, 4: 167, 5: 68, 6: 13, 7: 2, 248: 10, 249: 21, 250: 69, 251: 167, 252: 415, 253: 903, 254: 1699, 255: 49380}",False,55994,136,"[21, 1, 4, 3, 55603, 8, 1, 3, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 2, 4, 1, 4, 1, 2, 7, 1, 7, 1, 1, 1, 1, 1, 19, 1, 2, 1, 4, 3, 2, 3, 3, 1, 1, 4, 2, 3, 2, 4, 2, 1, 1, 1, 1, 1, 8, 7, 1, 1, 1, 2, 2, 1, 2, 19, 1, 1, 1, 1, 1, 1, 2, 1, 4, 3, 2, 1, 4, 3, 1, 5, 1, 7, 3, 2, 2, 7, 18, 2, 3, 1, 1, 1, 1, 2, 5, 2, 1, 3, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 5, 1, 1, 7, 5, 1, 1, 1, 2, 1, 5, 2, 1, 1, 24, 3, 12, 1, 1, 1, 1, 3, 1, 1]",133,42,0.5630027348777349,0.019046558696404217,0.05662673118903809,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",4259
N_2.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_2.jpg,True,"(828, 218)","{0: 143031, 1: 1146, 2: 541, 3: 263, 4: 97, 5: 31, 6: 8, 7: 4, 248: 4, 249: 4, 250: 47, 251: 77, 252: 280, 253: 560, 254: 1004, 255: 33407}",False,37473,99,"[37204, 2, 3, 1, 2, 1, 1, 10, 2, 1, 1, 1, 3, 1, 9, 9, 12, 1, 1, 1, 4, 1, 1, 1, 1, 18, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 2, 4, 7, 1, 3, 1, 2, 1, 3, 4, 4, 9, 11, 7, 2, 1, 1, 3, 1, 9, 1, 1, 2, 1, 5, 1, 1, 2, 3, 5, 1, 1, 4, 3, 2, 19, 1, 3, 1, 5, 2, 1, 2, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]",98,20,0.4337152777777778,0.017561937685591455,0.05008199264282232,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",2159
N_3.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_3.jpg,True,"(939, 206)","{0: 139491, 1: 1335, 2: 692, 3: 330, 4: 150, 5: 44, 6: 14, 7: 2, 248: 6, 249: 9, 250: 66, 251: 162, 252: 398, 253: 821, 254: 1589, 255: 48325}",False,53943,107,"[53647, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 4, 3, 1, 1, 6, 1, 7, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 7, 3, 1, 8, 1, 22, 1, 1, 1, 7, 1, 1, 17, 9, 1, 4, 20, 1, 2, 2, 14, 1, 1, 1, 1, 1, 3, 1, 2, 2, 1, 1, 1, 1, 4, 1, 8, 2, 1, 1, 1, 4, 3, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 1, 7, 2, 1, 1, 1, 1, 7, 1, 1, 1, 2, 1, 5, 7, 1, 1, 2, 4, 8, 1, 1, 1]",104,30,0.5351488095238095,0.0208856767683034,0.05994809599139758,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",3015
N_4.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_4.jpg,True,"(878, 204)","{0: 145707, 1: 1043, 2: 437, 3: 221, 4: 69, 5: 23, 6: 6, 8: 2, 248: 4, 249: 6, 250: 29, 251: 73, 252: 221, 253: 400, 254: 831, 255: 30040}",False,33405,88,"[5, 1, 2, 3, 2, 2, 33113, 2, 7, 13, 5, 2, 3, 1, 1, 14, 1, 1, 18, 1, 3, 1, 7, 7, 5, 1, 2, 3, 4, 1, 1, 2, 1, 1, 1, 1, 1, 26, 1, 1, 1, 3, 1, 3, 1, 24, 1, 2, 1, 2, 3, 7, 10, 5, 3, 2, 2, 11, 1, 1, 1, 2, 1, 1, 1, 2, 4, 1, 10, 1, 1, 2, 1, 1, 1, 7, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2, 1]",85,17,0.6140625,0.01616865424985484,0.045239849926303095,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",1978
N_5.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_5.jpg,True,"(666, 172)","{0: 95523, 1: 622, 2: 278, 3: 126, 4: 62, 5: 22, 6: 2, 7: 1, 248: 3, 249: 4, 250: 14, 251: 58, 252: 115, 253: 292, 254: 584, 255: 16846}",False,19029,55,"[7, 18881, 1, 1, 2, 5, 3, 3, 1, 1, 1, 1, 1, 1, 13, 1, 1, 1, 2, 4, 1, 1, 2, 2, 1, 1, 1, 7, 5, 1, 7, 5, 3, 1, 4, 1, 1, 1, 2, 2, 4, 1, 2, 1, 1, 3, 2, 1, 7, 14, 7, 1, 2, 1, 2]",54,10,0.61943359375,0.01656016481597877,0.04540296110063552,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",1164
N_6.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_6.jpg,True,"(920, 186)","{0: 133311, 1: 1141, 2: 666, 3: 325, 4: 109, 5: 37, 6: 12, 7: 6, 247: 1, 248: 6, 249: 4, 250: 53, 251: 124, 252: 318, 253: 680, 254: 1369, 255: 32958}",False,37809,104,"[37525, 1, 1, 1, 21, 1, 2, 3, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 5, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 7, 1, 3, 1, 1, 3, 2, 7, 1, 1, 3, 1, 1, 1, 1, 19, 1, 1, 1, 3, 1, 1, 13, 3, 1, 3, 18, 14, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 3, 1, 4, 1, 5, 1, 6, 1, 2, 3, 1, 4, 1, 1, 9, 1, 4, 1, 2, 7, 1, 2, 1, 1, 1, 3, 12, 2]",102,27,0.5594371448863636,0.019571061243571764,0.057947639083683965,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",2584
N_7.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_7.jpg,True,"(937, 220)","{0: 151174, 1: 1523, 2: 783, 3: 349, 4: 147, 5: 46, 6: 6, 7: 6, 248: 7, 249: 12, 250: 62, 251: 148, 252: 383, 253: 833, 254: 1543, 255: 49118}",False,54966,113,"[2, 5, 54639, 3, 1, 6, 1, 1, 1, 2, 1, 4, 1, 5, 1, 7, 1, 2, 2, 1, 3, 1, 10, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 2, 1, 4, 6, 2, 1, 4, 13, 1, 1, 1, 1, 1, 1, 1, 11, 1, 2, 4, 2, 1, 2, 3, 2, 4, 1, 1, 1, 3, 13, 1, 5, 1, 1, 5, 1, 3, 14, 7, 15, 4, 1, 1, 1, 1, 1, 3, 1, 3, 1, 4, 2, 14, 6, 2, 1, 1, 1, 14, 3, 1, 1, 1, 1, 11, 7, 2]",112,38,0.5401533018867924,0.02072863102745707,0.06062869894246629,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",3473
N_8.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_8.jpg,True,"(858, 229)","{0: 170467, 1: 827, 2: 412, 3: 194, 4: 94, 5: 28, 6: 2, 7: 2, 248: 3, 249: 8, 250: 46, 251: 93, 252: 189, 253: 448, 254: 729, 255: 22940}",False,26015,62,"[25866, 1, 7, 2, 1, 2, 1, 4, 1, 2, 2, 1, 1, 2, 1, 1, 3, 1, 1, 4, 3, 2, 1, 1, 2, 1, 1, 1, 11, 1, 5, 1, 1, 1, 3, 1, 1, 2, 14, 5, 3, 5, 1, 5, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 14, 4, 1, 2, 2, 2, 1]",61,24,0.6545642109500805,0.011537952585987521,0.03430848627355178,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",1633
N_9.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_9.jpg,True,"(633, 157)","{0: 81154, 1: 558, 2: 317, 3: 132, 4: 48, 5: 19, 6: 7, 7: 1, 248: 3, 249: 4, 250: 25, 251: 62, 252: 178, 253: 320, 254: 639, 255: 15914}",False,18227,65,"[18055, 1, 2, 2, 1, 1, 4, 5, 6, 1, 1, 1, 1, 3, 2, 1, 3, 1, 3, 1, 1, 1, 1, 3, 1, 3, 1, 2, 7, 5, 1, 3, 3, 1, 1, 20, 1, 6, 3, 1, 1, 1, 1, 14, 6, 7, 1, 3, 3, 2, 4, 1, 1, 1, 1, 1, 6, 1, 1, 1, 2, 5, 1, 1, 1]",63,9,0.5933268229166667,0.018554854549662412,0.05206226542296817,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",1048
N_10.jpg,binary,/content/drive/MyDrive/MaIA_Scoliosis_Dataset/LabelBinaryJPG/Label_N_10.jpg,True,"(778, 311)","{0: 207349, 1: 770, 2: 457, 3: 192, 4: 113, 5: 41, 6: 6, 7: 1, 248: 3, 249: 11, 250: 41, 251: 88, 252: 223, 253: 520, 254: 1022, 255: 31121}",False,34609,84,"[1, 34354, 7, 1, 1, 3, 2, 7, 4, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 20, 1, 1, 2, 5, 14, 5, 1, 1, 1, 3, 1, 4, 3, 2, 1, 1, 4, 3, 2, 1, 3, 5, 8, 2, 1, 2, 1, 1, 5, 17, 1, 4, 1, 20, 7, 3, 4, 1, 1, 1, 1, 8, 7, 1, 1, 1, 4, 1, 1, 1, 10, 1, 1, 1, 3, 2, 1, 1, 1, 3, 1, 1]",81,14,0.5852441829004329,0.010989510576215706,0.03150133494242802,"['removed_small_components', 'morphological_closing', 'fill_internal_holes']",1629
