patient_key,peak_type,gap_order,curve_idx,x,y,profile_name,peak_height,peak_prominence,peak_width_half_prominence,peak_width_height,left_ips,right_ips,left_base_idx,right_base_idx,prev_peak_idx,next_peak_idx,distance_to_prev_peak_idx,distance_to_next_peak_idx,left_valley_idx,right_valley_idx,left_valley_value,right_valley_value,valley_to_valley_width,height_above_left_valley,height_above_right_valley,height_above_mean_valleys
N_10,gap,1,42,138.43217,246.77406,gap_score_smooth,0.8084639310836792,0.060301244258880615,29.148892053334873,0.7783133089542389,25.60779819851283,54.7566902518477,0,58,,70.0,0.0,28.0,15,50,0.741578221321106,0.7888233661651611,35,0.06688570976257324,0.019640564918518066,0.043263137340545654
N_10,gap,2,70,140.9146,338.62344,gap_score_smooth,0.8825137615203857,0.03230750560760498,5.649981264820653,0.8663600087165833,67.57167463030463,73.22165589512528,0,83,42.0,104.0,28.0,34.0,58,75,0.7481626868247986,0.8586730360984802,17,0.13435107469558716,0.023840725421905518,0.07909590005874634
N_10,gap,3,104,149.06778,450.15482,gap_score_smooth,0.937186062335968,0.06243366003036499,17.50731840609781,0.9059692323207855,91.70720276406277,109.21452117016058,0,114,70.0,124.0,34.0,20.0,100,114,0.9335958361625671,0.874752402305603,14,0.003590226173400879,0.06243366003036499,0.033011943101882935
N_10,gap,4,124,149.60226,515.76154,gap_score_smooth,0.9866548180580139,0.8559857904911041,208.73204705661612,0.5586619228124619,4.760683714914949,213.4927307715311,0,221,104.0,143.0,20.0,19.0,114,134,0.874752402305603,0.7032312750816345,20,0.11190241575241089,0.2834235429763794,0.19766297936439514
N_10,gap,5,143,150.06146,578.0879,gap_score_smooth,0.9601619839668274,0.25693070888519287,13.671670032755685,0.831696629524231,139.1009033377262,152.7725733704819,134,221,124.0,159.0,19.0,16.0,134,155,0.7032312750816345,0.8236974477767944,21,0.25693070888519287,0.13646453619003296,0.19669762253761292
N_10,gap,6,159,153.09067,630.57324,gap_score_smooth,0.8587042093276978,0.03500676155090332,3.4579083947025424,0.8412008285522461,157.45816028673585,160.9160686814384,155,171,143.0,175.0,16.0,16.0,155,171,0.8236974477767944,0.6932385563850403,16,0.03500676155090332,0.16546565294265747,0.1002362072467804
N_10,gap,7,175,156.64906,683.0586,gap_score_smooth,0.7412851452827454,0.04152953624725342,4.325350827490297,0.7205203771591187,173.47266646084182,177.79801728833212,171,180,159.0,199.0,16.0,24.0,171,180,0.6932385563850403,0.6997556090354919,9,0.04804658889770508,0.04152953624725342,0.04478806257247925
N_10,gap,8,199,159.98534,761.7866,gap_score_smooth,0.8615226149559021,0.16828405857086182,23.024724697645098,0.7773805856704712,188.29942150081794,211.32414619846304,171,221,175.0,231.0,24.0,32.0,180,205,0.6997556090354919,0.8475583791732788,25,0.16176700592041016,0.013964235782623291,0.08786562085151672
N_10,gap,9,231,165.06868,866.7573,gap_score_smooth,0.6827560663223267,0.5636145249009132,9.151635329596587,0.40094880387187004,226.26150266302696,235.41313799262355,221,239,199.0,,32.0,0.0,221,239,0.07595469802618027,0.11914154142141342,18,0.6068013682961464,0.5636145249009132,0.5852079465985298
N_11,gap,1,9,132.01517,128.20502,gap_score_smooth,0.6531504988670349,0.12658274173736572,9.323076606369463,0.589859127998352,5.857122035389738,15.180198641759201,0,19,,70.0,0.0,61.0,0,19,0.13893745839595795,0.5265677571296692,19,0.514213040471077,0.12658274173736572,0.32039789110422134
N_11,gap,2,70,126.048325,319.37238,gap_score_smooth,0.9017559885978699,0.10027164220809937,40.114157144939966,0.8516201674938202,42.85725390496397,82.97141104990394,0,87,9.0,98.0,61.0,28.0,49,87,0.85297030210495,0.8014843463897705,38,0.04878568649291992,0.10027164220809937,0.07452866435050964
N_11,gap,3,98,126.70289,407.12134,gap_score_smooth,0.9020968079566956,0.1987365484237671,22.58513653099216,0.802728533744812,88.14149279331079,110.72662932430295,0,115,70.0,128.0,28.0,30.0,87,115,0.8014843463897705,0.7033602595329285,28,0.10061246156692505,0.1987365484237671,0.14967450499534607
N_11,gap,4,128,128.39737,501.13806,gap_score_smooth,0.9929089546203613,0.8539714962244034,161.49988755998703,0.5659232065081596,25.0851037855704,186.58499134555743,0,239,98.0,165.0,30.0,37.0,115,133,0.7033602595329285,0.9847118854522705,18,0.28954869508743286,0.00819706916809082,0.14887288212776184
N_11,gap,5,165,137.64755,617.09204,gap_score_smooth,0.9087520241737366,0.03732842206954956,6.811727020974729,0.8900878131389618,159.41378135937794,166.22550838035266,156,239,128.0,183.0,37.0,18.0,156,176,0.871423602104187,0.6132633090019226,20,0.03732842206954956,0.29548871517181396,0.16640856862068176
N_11,gap,6,183,139.0529,673.5021,gap_score_smooth,0.8445253968238831,0.23126208782196045,5.341798564932731,0.7288943529129028,179.78668585857594,185.12848442350867,176,239,165.0,203.0,18.0,20.0,176,193,0.6132633090019226,0.23330049216747284,17,0.23126208782196045,0.6112249046564102,0.42124349623918533
N_11,gap,7,203,138.71982,736.17993,gap_score_smooth,0.8386679887771606,0.6053674966096878,14.190608938554135,0.5359842404723167,198.44864120088357,212.6392501394377,193,239,183.0,218.0,20.0,15.0,193,213,0.23330049216747284,0.5332470536231995,20,0.6053674966096878,0.3054209351539612,0.4553942158818245
N_11,gap,8,218,139.94778,783.1883,gap_score_smooth,0.6211255192756653,0.08787846565246582,3.3131647274667557,0.5771862864494324,215.86759927746834,219.1807640049351,213,239,203.0,232.0,15.0,14.0,213,225,0.5332470536231995,0.39152073860168457,12,0.08787846565246582,0.2296047806739807,0.15874162316322327
N_11,gap,9,232,141.72508,827.06274,gap_score_smooth,0.5799335241317749,0.18841278553009033,4.127787826132106,0.48572713136672974,229.949660489891,234.0774483160231,225,239,218.0,,14.0,0.0,225,239,0.39152073860168457,0.08865723758935928,14,0.18841278553009033,0.4912762865424156,0.339844536036253
